Profit,Segment,Category
$4.28,Consumer,Furniture
$18.66,Home Office,Office Supplies
$91.79,Corporate,Technology
$6.22,Corporate,Office Supplies
$21.38,Corporate,Office Supplies
$9.82,Corporate,Office Supplies
$23.97,Consumer,Office Supplies
$24.27,Consumer,Office Supplies
$8.02,Corporate,Office Supplies
$2.60,Consumer,Office Supplies
$18.01,Corporate,Office Supplies
$18.45,Corporate,Office Supplies
$131.99,Corporate,Technology
$43.68,Consumer,Furniture
$3.05,Consumer,Office Supplies
$18.01,Consumer,Office Supplies
$5.32,Corporate,Office Supplies
$6.91,Corporate,Office Supplies
$14.17,Consumer,Furniture
$1.97,Consumer,Office Supplies
$34.47,Consumer,Office Supplies
$22.98,Home Office,Technology
$26.06,Consumer,Office Supplies
$27.17,Consumer,Technology
$2.40,Consumer,Furniture
$9.62,Consumer,Office Supplies
$2.60,Consumer,Office Supplies
$6.22,Consumer,Office Supplies
$18.66,Corporate,Office Supplies
$62.51,Corporate,Furniture
$28.97,Corporate,Office Supplies
$6.59,Consumer,Office Supplies
$4.79,Corporate,Office Supplies
$10.74,Consumer,Office Supplies
$4.76,Consumer,Office Supplies
$5.32,Corporate,Office Supplies
$22.25,Corporate,Office Supplies
$5.04,Corporate,Office Supplies
$29.03,Consumer,Technology
$41.22,Consumer,Office Supplies
$429.58,Consumer,Office Supplies
$7.07,Corporate,Office Supplies
$21.58,Consumer,Office Supplies
$0.78,Corporate,Technology
$8.98,Corporate,Office Supplies
$10.37,Consumer,Furniture
$0.54,Corporate,Office Supplies
$4.02,Consumer,Furniture
$3.11,Consumer,Office Supplies
$87.74,Consumer,Office Supplies
$19.05,Consumer,Office Supplies
$5.07,Consumer,Office Supplies
$16.54,Consumer,Office Supplies
$4.44,Consumer,Furniture
$21.00,Corporate,Technology
$21.60,Corporate,Technology
$125.14,Home Office,Office Supplies
$4.62,Corporate,Furniture
$335.85,Corporate,Office Supplies
$15.76,Home Office,Office Supplies
$55.90,Consumer,Office Supplies
$31.49,Corporate,Technology
$6.06,Corporate,Office Supplies
$4.85,Corporate,Office Supplies
$8.76,Consumer,Office Supplies
$8.69,Consumer,Office Supplies
$0.88,Consumer,Office Supplies
$2.93,Consumer,Office Supplies
$17.75,Consumer,Office Supplies
$11.75,Corporate,Furniture
$33.07,Corporate,Furniture
$72.58,Consumer,Office Supplies
$51.19,Corporate,Technology
$128.97,Consumer,Technology
$0.52,Consumer,Office Supplies
$5.76,Corporate,Office Supplies
$26.35,Corporate,Office Supplies
$55.85,Corporate,Office Supplies
$13.69,Corporate,Office Supplies
$5.66,Consumer,Office Supplies
$5.81,Corporate,Technology
$80.63,Corporate,Office Supplies
$54.86,Corporate,Office Supplies
$5.23,Home Office,Office Supplies
$6.41,Home Office,Office Supplies
$0.00,Home Office,Office Supplies
$5.06,Home Office,Office Supplies
$6.53,Consumer,Furniture
$37.79,Home Office,Technology
$16.61,Home Office,Furniture
$9.11,Consumer,Office Supplies
$31.02,Consumer,Office Supplies
$10.35,Consumer,Office Supplies
$41.08,Corporate,Furniture
$40.75,Corporate,Technology
$16.85,Consumer,Office Supplies
$1.79,Consumer,Office Supplies
$6.22,Consumer,Office Supplies
$15.55,Consumer,Office Supplies
$21.77,Consumer,Office Supplies
$12.30,Consumer,Office Supplies
$1.16,Consumer,Office Supplies
$18.21,Consumer,Office Supplies
$19.26,Consumer,Office Supplies
$10.09,Consumer,Office Supplies
$18.32,Home Office,Office Supplies
$3.24,Consumer,Furniture
$146.77,Consumer,Technology
$5.32,Consumer,Office Supplies
$6.21,Home Office,Office Supplies
$8.10,Corporate,Furniture
$459.40,Home Office,Office Supplies
$97.20,Home Office,Technology
$4.01,Corporate,Office Supplies
$7.92,Consumer,Office Supplies
$7.15,Home Office,Office Supplies
$2.71,Corporate,Office Supplies
$11.25,Corporate,Office Supplies
$16.68,Consumer,Office Supplies
$15.99,Consumer,Furniture
$25.33,Consumer,Technology
$440.76,Consumer,Technology
$8.82,Home Office,Furniture
$13.51,Consumer,Office Supplies
$3.47,Consumer,Office Supplies
$3.60,Consumer,Office Supplies
$46.73,Consumer,Technology
$11.29,Consumer,Office Supplies
$327.95,Corporate,Office Supplies
$35.99,Consumer,Technology
$395.99,Consumer,Technology
$23.72,Corporate,Office Supplies
$17.31,Consumer,Office Supplies
$41.22,Consumer,Office Supplies
$142.49,Consumer,Technology
$10.35,Corporate,Office Supplies
$6.87,Corporate,Office Supplies
$8.79,Corporate,Office Supplies
$92.51,Corporate,Office Supplies
$86.39,Corporate,Technology
$53.26,Consumer,Office Supplies
$7.05,Consumer,Office Supplies
$3.75,Corporate,Office Supplies
$9.31,Corporate,Office Supplies
$106.78,Corporate,Office Supplies
$6.49,Home Office,Office Supplies
$11.21,Home Office,Office Supplies
$132.99,Home Office,Furniture
$5.58,Corporate,Office Supplies
$22.43,Corporate,Technology
$57.59,Corporate,Technology
$15.22,Consumer,Technology
$92.37,Consumer,Technology
$2.32,Consumer,Furniture
$38.00,Consumer,Technology
$16.30,Consumer,Furniture
$59.82,Corporate,Technology
$4.86,Home Office,Furniture
$8.00,Corporate,Technology
$10.90,Home Office,Technology
$6.42,Consumer,Furniture
$8.64,Consumer,Furniture
$43.16,Consumer,Technology
$34.98,Consumer,Technology
$7.35,Corporate,Furniture
$9.56,Home Office,Furniture
$12.15,Corporate,Furniture
$86.00,Consumer,Technology
$21.27,Corporate,Technology
$22.67,Consumer,Technology
$5.94,Consumer,Furniture
$122.39,Consumer,Technology
$2.96,Corporate,Furniture
$86.39,Corporate,Technology
$6.09,Corporate,Furniture
$8.01,Consumer,Furniture
$21.13,Consumer,Furniture
$2.48,Consumer,Office Supplies
$8.48,Consumer,Office Supplies
$25.48,Corporate,Office Supplies
$5.93,Consumer,Office Supplies
$7.01,Consumer,Office Supplies
$8.45,Corporate,Office Supplies
$9.07,Home Office,Office Supplies
$114.94,Corporate,Office Supplies
$2.82,Consumer,Office Supplies
$4.34,Consumer,Office Supplies
$6.47,Consumer,Office Supplies
$7.31,Consumer,Office Supplies
$36.82,Consumer,Office Supplies
$15.48,Consumer,Office Supplies
$17.33,Consumer,Office Supplies
$9.48,Consumer,Office Supplies
$352.30,Corporate,Office Supplies
$72.43,Corporate,Office Supplies
$1.02,Home Office,Office Supplies
$1.40,Home Office,Office Supplies
$20.66,Consumer,Office Supplies
$0.56,Consumer,Office Supplies
$6.96,Consumer,Office Supplies
$21.77,Corporate,Office Supplies
$1.87,Home Office,Office Supplies
$238.65,Consumer,Office Supplies
$6.57,Consumer,Office Supplies
$20.84,Corporate,Office Supplies
$2.17,Consumer,Office Supplies
$2.23,Consumer,Office Supplies
$15.70,Consumer,Office Supplies
$16.95,Corporate,Office Supplies
$40.17,Home Office,Office Supplies
$40.44,Corporate,Office Supplies
$11.12,Corporate,Office Supplies
$11.79,Consumer,Office Supplies
$2.02,Consumer,Office Supplies
$17.58,Consumer,Office Supplies
$6.22,Corporate,Office Supplies
$50.33,Consumer,Office Supplies
$196.50,Corporate,Office Supplies
$6.77,Corporate,Office Supplies
$40.27,Corporate,Office Supplies
$14.97,Corporate,Office Supplies
$5.17,Corporate,Office Supplies
$63.44,Corporate,Office Supplies
$16.03,Corporate,Office Supplies
$103.31,Corporate,Office Supplies
$10.45,Consumer,Office Supplies
$10.52,Consumer,Office Supplies
$8.12,Home Office,Office Supplies
$5.64,Home Office,Office Supplies
$140.60,Home Office,Office Supplies
$27.49,Corporate,Office Supplies
$50.37,Consumer,Office Supplies
$25.29,Consumer,Office Supplies
$10.31,Consumer,Office Supplies
$9.39,Consumer,Office Supplies
$2.56,Consumer,Office Supplies
$13.46,Home Office,Office Supplies
$33.06,Corporate,Office Supplies
$16.15,Corporate,Office Supplies
$33.31,Consumer,Office Supplies
$12.22,Home Office,Office Supplies
$2.88,Consumer,Office Supplies
$5.68,Consumer,Office Supplies
$27.93,Consumer,Office Supplies
$80.79,Home Office,Office Supplies
$3.50,Consumer,Office Supplies
$2.85,Home Office,Office Supplies
$0.72,Home Office,Office Supplies
$22.99,Home Office,Office Supplies
$9.70,Consumer,Office Supplies
$11.54,Consumer,Office Supplies
$37.79,Consumer,Technology
$16.61,Consumer,Furniture
$8.50,Consumer,Technology
$4.07,Consumer,Technology
$40.31,Consumer,Technology
$6.22,Corporate,Furniture
$69.99,Corporate,Technology
$0.44,Home Office,Technology
$2.23,Consumer,Furniture
$10.39,Corporate,Furniture
$8.22,Corporate,Furniture
$23.99,Corporate,Furniture
$57.36,Consumer,Furniture
$10.95,Consumer,Technology
$85.98,Consumer,Technology
$12.00,Corporate,Furniture
$11.65,Consumer,Furniture
$21.44,Corporate,Furniture
$23.38,Corporate,Furniture
$86.39,Consumer,Technology
$11.46,Consumer,Furniture
$132.59,Home Office,Technology
$15.30,Consumer,Technology
$28.50,Home Office,Technology
$10.91,Consumer,Furniture
$162.00,Home Office,Technology
$39.59,Corporate,Technology
$11.15,Corporate,Technology
$22.00,Home Office,Technology
$11.17,Corporate,Furniture
$28.60,Corporate,Furniture
$15.92,Consumer,Technology
$210.49,Corporate,Office Supplies
$13.30,Consumer,Office Supplies
$4.65,Consumer,Office Supplies
$13.61,Consumer,Office Supplies
$27.43,Consumer,Office Supplies
$3.41,Consumer,Office Supplies
$24.98,Consumer,Office Supplies
$28.82,Consumer,Office Supplies
$45.53,Consumer,Office Supplies
$28.17,Home Office,Office Supplies
$11.72,Home Office,Office Supplies
$1.93,Home Office,Office Supplies
$4.58,Consumer,Office Supplies
$10.64,Consumer,Office Supplies
$8.05,Corporate,Office Supplies
$10.94,Corporate,Office Supplies
$3.02,Corporate,Office Supplies
$26.38,Home Office,Office Supplies
$53.86,Corporate,Office Supplies
$6.41,Corporate,Office Supplies
$26.07,Consumer,Office Supplies
$8.79,Consumer,Office Supplies
$4.19,Corporate,Office Supplies
$14.28,Corporate,Office Supplies
$15.25,Corporate,Office Supplies
$27.49,Home Office,Office Supplies
$3.47,Consumer,Office Supplies
$2.72,Consumer,Office Supplies
$5.10,Consumer,Office Supplies
$4.30,Corporate,Office Supplies
$15.12,Corporate,Office Supplies
$24.36,Home Office,Office Supplies
$4.19,Home Office,Office Supplies
$1.97,Home Office,Office Supplies
$2.48,Corporate,Office Supplies
$21.77,Corporate,Office Supplies
$9.50,Corporate,Office Supplies
$126.39,Corporate,Office Supplies
$5.73,Home Office,Office Supplies
$2.38,Home Office,Office Supplies
$78.89,Consumer,Office Supplies
$16.32,Consumer,Office Supplies
$6.22,Corporate,Office Supplies
$114.94,Home Office,Office Supplies
$97.88,Home Office,Office Supplies
$1.35,Consumer,Office Supplies
$7.61,Corporate,Office Supplies
$9.99,Consumer,Office Supplies
$27.88,Home Office,Office Supplies
$113.85,Consumer,Office Supplies
$14.97,Corporate,Office Supplies
$9.53,Consumer,Office Supplies
$81.05,Consumer,Office Supplies
$4.89,Corporate,Office Supplies
$15.27,Consumer,Office Supplies
$9.70,Corporate,Office Supplies
$4.34,Home Office,Office Supplies
$73.41,Home Office,Office Supplies
$6.22,Home Office,Office Supplies
$3.03,Home Office,Office Supplies
$2.82,Consumer,Office Supplies
$4.46,Consumer,Office Supplies
$23.59,Home Office,Office Supplies
$1.67,Home Office,Office Supplies
$0.11,Home Office,Office Supplies
$3.29,Corporate,Office Supplies
$1.90,Consumer,Office Supplies
$3.72,Consumer,Office Supplies
$9.92,Consumer,Office Supplies
$15.40,Consumer,Office Supplies
$8.77,Corporate,Office Supplies
$68.96,Corporate,Office Supplies
$9.00,Corporate,Office Supplies
$3.10,Consumer,Office Supplies
$22.70,Consumer,Office Supplies
$15.23,Home Office,Office Supplies
$2.19,Home Office,Office Supplies
$6.22,Consumer,Furniture
$4.10,Home Office,Furniture
$9.67,Home Office,Technology
$3.40,Corporate,Technology
$46.60,Corporate,Technology
$10.41,Consumer,Furniture
$28.52,Consumer,Furniture
$95.76,Consumer,Furniture
$15.70,Corporate,Technology
$76.26,Home Office,Furniture
$34.28,Consumer,Furniture
$100.48,Corporate,Furniture
$129.35,Consumer,Technology
$16.46,Consumer,Furniture
$4.35,Consumer,Furniture
$145.13,Consumer,Technology
$2.18,Home Office,Furniture
$38.08,Consumer,Technology
$11.16,Consumer,Furniture
$1.64,Consumer,Technology
$62.74,Consumer,Furniture
$1.02,Home Office,Technology
$105.98,Consumer,Furniture
$10.16,Consumer,Furniture
$31.61,Consumer,Furniture
$3.38,Consumer,Technology
$163.19,Corporate,Technology
$4.95,Corporate,Technology
$54.28,Consumer,Furniture
$8.74,Consumer,Furniture
$87.20,Consumer,Technology
$42.07,Corporate,Office Supplies
$2.04,Home Office,Office Supplies
$2.51,Home Office,Office Supplies
$15.55,Home Office,Office Supplies
$151.10,Corporate,Office Supplies
$53.86,Corporate,Office Supplies
$3.85,Corporate,Office Supplies
$8.71,Consumer,Office Supplies
$15.04,Consumer,Office Supplies
$327.51,Consumer,Office Supplies
$8.49,Consumer,Office Supplies
$22.62,Consumer,Office Supplies
$15.48,Consumer,Office Supplies
$9.26,Consumer,Office Supplies
$24.84,Consumer,Office Supplies
$12.10,Home Office,Office Supplies
$0.15,Home Office,Office Supplies
$19.87,Home Office,Office Supplies
$28.17,Home Office,Office Supplies
$22.23,Home Office,Office Supplies
$12.67,Home Office,Office Supplies
$19.87,Home Office,Office Supplies
$3.23,Consumer,Office Supplies
$68.59,Consumer,Office Supplies
$10.73,Consumer,Office Supplies
$76.25,Consumer,Office Supplies
$12.22,Consumer,Office Supplies
$178.91,Corporate,Office Supplies
$11.15,Home Office,Office Supplies
$13.37,Home Office,Office Supplies
$0.84,Corporate,Office Supplies
$4.17,Consumer,Office Supplies
$6.20,Consumer,Office Supplies
$2.38,Corporate,Office Supplies
$5.10,Corporate,Office Supplies
$68.98,Corporate,Office Supplies
$6.09,Consumer,Office Supplies
$0.15,Consumer,Office Supplies
$10.63,Consumer,Office Supplies
$16.99,Corporate,Office Supplies
$1.77,Consumer,Office Supplies
$12.44,Consumer,Office Supplies
$19.83,Consumer,Office Supplies
$8.81,Consumer,Office Supplies
$20.61,Consumer,Office Supplies
$3.71,Consumer,Office Supplies
$6.57,Consumer,Office Supplies
$510.64,Consumer,Office Supplies
$8.49,Corporate,Office Supplies
$25.79,Corporate,Office Supplies
$14.83,Consumer,Office Supplies
$7.99,Consumer,Office Supplies
$2.22,Consumer,Office Supplies
$419.82,Consumer,Office Supplies
$5.86,Consumer,Office Supplies
$5.78,Consumer,Office Supplies
$11.56,Consumer,Office Supplies
$48.29,Consumer,Office Supplies
$30.26,Corporate,Office Supplies
$3.18,Corporate,Office Supplies
$37.98,Corporate,Office Supplies
$1.67,Corporate,Office Supplies
$0.00,Home Office,Office Supplies
$11.86,Corporate,Office Supplies
$15.20,Consumer,Office Supplies
$5.78,Consumer,Office Supplies
$3.24,Corporate,Office Supplies
$9.72,Corporate,Office Supplies
$2.83,Consumer,Office Supplies
$11.58,Consumer,Office Supplies
$80.34,Home Office,Office Supplies
$0.63,Consumer,Office Supplies
$12.87,Consumer,Office Supplies
$4.77,Corporate,Office Supplies
$2.10,Corporate,Office Supplies
$3.18,Corporate,Office Supplies
$41.71,Consumer,Office Supplies
$30.51,Consumer,Office Supplies
$44.37,Consumer,Office Supplies
$81.13,Consumer,Office Supplies
$6.03,Consumer,Office Supplies
$50.03,Consumer,Office Supplies
$105.25,Consumer,Office Supplies
$12.44,Consumer,Office Supplies
$6.66,Consumer,Office Supplies
$1.34,Consumer,Office Supplies
$2.22,Home Office,Office Supplies
$15.55,Home Office,Office Supplies
$11.80,Corporate,Office Supplies
$41.93,Consumer,Office Supplies
$61.39,Corporate,Office Supplies
$4.23,Consumer,Office Supplies
$18.66,Consumer,Office Supplies
$6.35,Consumer,Office Supplies
$25.02,Home Office,Office Supplies
$42.81,Consumer,Office Supplies
$41.82,Consumer,Office Supplies
$3.58,Consumer,Office Supplies
$22.07,Consumer,Office Supplies
$7.19,Corporate,Office Supplies
$1.68,Consumer,Office Supplies
$33.64,Consumer,Office Supplies
$9.22,Consumer,Office Supplies
$52.53,Consumer,Office Supplies
$1.48,Consumer,Office Supplies
$16.09,Home Office,Office Supplies
$54.86,Consumer,Office Supplies
$5.80,Home Office,Office Supplies
$9.60,Home Office,Office Supplies
$41.82,Consumer,Office Supplies
$68.98,Home Office,Office Supplies
$2.40,Home Office,Office Supplies
$3.62,Consumer,Office Supplies
$18.61,Home Office,Office Supplies
$58.50,Home Office,Office Supplies
$4.93,Home Office,Office Supplies
$79.89,Consumer,Office Supplies
$1.54,Consumer,Office Supplies
$24.34,Consumer,Office Supplies
$20.54,Home Office,Office Supplies
$10.51,Home Office,Office Supplies
$28.01,Consumer,Office Supplies
$18.33,Consumer,Office Supplies
$0.12,Consumer,Office Supplies
$40.17,Consumer,Office Supplies
$14.31,Consumer,Office Supplies
$12.03,Consumer,Office Supplies
$2.77,Consumer,Office Supplies
$5.66,Consumer,Office Supplies
$5.66,Consumer,Office Supplies
$15.07,Consumer,Office Supplies
$99.94,Consumer,Office Supplies
$4.54,Consumer,Office Supplies
$22.91,Consumer,Office Supplies
$1.92,Corporate,Office Supplies
$8.69,Corporate,Office Supplies
$9.33,Home Office,Office Supplies
$0.41,Corporate,Office Supplies
$8.88,Consumer,Office Supplies
$22.20,Consumer,Office Supplies
$9.50,Consumer,Office Supplies
$48.54,Corporate,Office Supplies
$6.10,Consumer,Office Supplies
$54.40,Consumer,Office Supplies
$15.55,Consumer,Office Supplies
$180.77,Corporate,Office Supplies
$50.33,Consumer,Office Supplies
