Sales,City,State,Region,Category,Product Name
208.16,Decatur,Alabama,South,Office Supplies,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
16.74,Decatur,Alabama,South,Office Supplies,Avery Heavy-Duty EZD  Binder With Locking Rings
14.90,San Francisco,California,West,Office Supplies,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
21.39,San Francisco,California,West,Office Supplies,"Sortfiler Multipurpose Personal File Organizer, Black"
200.98,Durham,North Carolina,South,Office Supplies,Jet-Pak Recycled Peel 'N' Seal Padded Mailers
230.38,Chicago,Illinois,Central,Office Supplies,Safco Industrial Wire Shelving
301.96,Columbia,South Carolina,South,Furniture,Novimex Swivel Fabric Task Chair
19.99,Rochester,Minnesota,Central,Technology,LogitechÿLS21 Speaker System - PC Multimedia - 2.1-CH - Wired
6.16,Rochester,Minnesota,Central,Office Supplies,Avery 511
158.37,Houston,Texas,Central,Office Supplies,Eldon Portable Mobile Manager
20.10,Los Angeles,California,West,Office Supplies,Turquoise Lead Holder with Pocket Clip
73.58,Los Angeles,California,West,Technology,Panasonic Kx-TS550
6.48,Los Angeles,California,West,Office Supplies,Xerox 1995
12.96,Minneapolis,Minnesota,Central,Office Supplies,Xerox 1999
53.34,Minneapolis,Minnesota,Central,Furniture,"Seth Thomas 13 1/2"" Wall Clock"
32.96,Minneapolis,Minnesota,Central,Office Supplies,Ibico Standard Transparent Covers
5.68,Portland,Oregon,West,Office Supplies,Flexible Leather- Look Classic Collection Ring Binder
96.53,New York City,New York,East,Furniture,9-3/4 Diameter Round Wall Clock
51.31,San Francisco,California,West,Office Supplies,Trimflex Flexible Post Binders
77.88,Saint Paul,Minnesota,Central,Office Supplies,Fellowes Basic Home/Office Series Surge Protectors
64.62,Chicago,Illinois,Central,Office Supplies,Avery Personal Creations Heavyweight Cards
95.98,Chicago,Illinois,Central,Technology,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card
1.79,Chicago,Illinois,Central,Office Supplies,Avery Hidden Tab Dividers for Binding Systems
23.92,Rochester,Minnesota,Central,Office Supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)
238.90,Aurora,Colorado,West,Technology,Logitech K350 2.4Ghz Wireless Keyboard
102.36,Aurora,Colorado,West,Furniture,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"
36.88,Aurora,Colorado,West,Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"
74.11,Charlotte,North Carolina,South,Technology,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive
27.99,Charlotte,North Carolina,South,Technology,Speck Products Candyshell Flip Case
3.30,Charlotte,North Carolina,South,Office Supplies,Newell Chalk Holder
339.96,Orland Park,Illinois,Central,Technology,LogitechÿGaming G510s - Keyboard
41.96,New York City,New York,East,Furniture,Magnifier Swing Arm Lamp
75.96,Urbandale,Iowa,Central,Office Supplies,"Hunt PowerHouse Electric Pencil Sharpener, Blue"
27.24,Urbandale,Iowa,Central,Office Supplies,"Avery Durable Plastic 1"" Binders"
40.10,Columbus,Ohio,East,Office Supplies,"OIC Colored Binder Clips, Assorted Sizes"
4.72,Columbus,Ohio,East,Office Supplies,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"
23.98,Columbus,Ohio,East,Office Supplies,Xerox 1921
130.46,Columbus,Ohio,East,Office Supplies,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"
787.53,Seattle,Washington,West,Furniture,Hon Racetrack Conference Tables
157.79,Bristol,Tennessee,South,Office Supplies,GBC DocuBind 300 Electric Binding Machine
47.04,Wilmington,Delaware,East,Furniture,Artistic Insta-Plaque
30.84,Wilmington,Delaware,East,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill
226.56,Wilmington,Delaware,East,Office Supplies,"Companion Letter/Legal File, Black"
115.02,Wilmington,Delaware,East,Office Supplies,Globe Weis Peel & Seel First Class Envelopes
68.04,Wilmington,Delaware,East,Technology,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7
600.56,Houston,Texas,Central,Furniture,Global Deluxe High-Back Manager's Chair
617.70,Bloomington,Illinois,Central,Furniture,Bevis 44 x 96 Conference Tables
2.39,Phoenix,Arizona,West,Office Supplies,"Avery Durable Slant Ring Binders, No Labels"
243.99,Phoenix,Arizona,West,Office Supplies,"Trav-L-File Heavy-Duty Shuttle II, Black"
81.42,Los Angeles,California,West,Furniture,"Global Task Chair, Black"
238.56,Los Angeles,California,West,Furniture,Eldon Cleatmat Plus Chair Mats for High Pile Carpets
59.97,Columbus,Ohio,East,Technology,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5
78.30,Columbus,Ohio,East,Office Supplies,Xerox 1916
21.46,Columbus,Ohio,East,Office Supplies,Staples
20.04,Roseville,California,West,Office Supplies,Xerox 195
35.44,Roseville,California,West,Office Supplies,Xerox 1880
11.52,Roseville,California,West,Office Supplies,"Sanford Colorific Colored Pencils, 12/Box"
4.02,Roseville,California,West,Office Supplies,Ideal Clamps
76.18,Roseville,California,West,Office Supplies,GBC Wire Binding Strips
65.88,Roseville,California,West,Office Supplies,Fiskars Softgrip Scissors
43.12,Roseville,California,West,Furniture,Longer-Life Soft White Bulbs
82.80,Philadelphia,Pennsylvania,East,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
8.82,San Francisco,California,West,Office Supplies,Newell 343
10.86,San Francisco,California,West,Office Supplies,Convenience Packs of Business Envelopes
143.70,San Francisco,California,West,Office Supplies,Xerox 1911
839.43,Independence,Missouri,Central,Office Supplies,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators
671.93,Pasadena,California,West,Office Supplies,Safco Industrial Wire Shelving
93.89,Newark,Ohio,East,Furniture,"Seth Thomas 14"" Putty-Colored Wall Clock"
384.45,Franklin,Wisconsin,Central,Technology,Plantronics CordlessÿPhone Headsetÿwith In-line Volume - M214C
149.97,Franklin,Wisconsin,Central,Technology,Anker Astro 15000mAh USB Portable Charger
1951.84,Franklin,Wisconsin,Central,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
171.55,Franklin,Wisconsin,Central,Office Supplies,GBC Prestige Therm-A-Bind Covers
157.92,Scottsdale,Arizona,West,Office Supplies,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection
203.18,Scottsdale,Arizona,West,Technology,Jabra BIZ 2300 Duo QD Duo CordedÿHeadset
58.38,San Jose,California,West,Office Supplies,Southworth 25% Cotton Antique Laid Paper & Envelopes
105.52,San Jose,California,West,Office Supplies,Xerox 1883
80.88,San Jose,California,West,Office Supplies,"Tenex Personal Project File with Scoop Front Design, Black"
6.63,Seattle,Washington,West,Office Supplies,Newell 311
457.57,Seattle,Washington,West,Furniture,Global Deluxe High-Back Manager's Chair
14.62,Edmond,Oklahoma,Central,Office Supplies,Avery 519
944.93,Edmond,Oklahoma,Central,Technology,Avaya 5420 Digital phone
5.98,Los Angeles,California,West,Office Supplies,Xerox 1920
54.38,Philadelphia,Pennsylvania,East,Technology,Lenovo 17-Key USB Numeric Keypad
28.40,Carlsbad,New Mexico,West,Office Supplies,Staple envelope
27.68,Seattle,Washington,West,Office Supplies,Wilson Jones International Size A4 Ring Binders
9.94,San Antonio,Texas,Central,Office Supplies,BIC Brite Liner Highlighters
8159.95,San Antonio,Texas,Central,Technology,Lexmark MX611dhe Monochrome Laser Printer
275.93,San Antonio,Texas,Central,Office Supplies,Space Solutions HD Industrial Steel Shelving.
1740.06,San Antonio,Texas,Central,Furniture,SAFCO Arco Folding Chair
32.06,San Antonio,Texas,Central,Office Supplies,Sanford Liquid Accent Highlighters
177.98,San Antonio,Texas,Central,Office Supplies,Kensington 7 Outlet MasterPiece Power Center
143.98,San Antonio,Texas,Central,Technology,JBL Micro Wireless Portable Bluetooth Speaker
20.94,Los Angeles,California,West,Office Supplies,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6? x 11?"
110.96,Los Angeles,California,West,Office Supplies,Xerox 1913
340.14,Los Angeles,California,West,Furniture,"Global Value Steno Chair, Gray"
52.45,Chicago,Illinois,Central,Office Supplies,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center
20.16,Chicago,Illinois,Central,Office Supplies,Avery 51
97.26,Houston,Texas,Central,Office Supplies,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
396.80,Newark,Ohio,East,Furniture,"Padded Folding Chairs, Black, 4/Carton"
15.88,Newark,Ohio,East,Office Supplies,Acme Rosewood Handle Letter Opener
3.28,New York City,New York,East,Office Supplies,"Sanford Colorific Eraseable Coloring Pencils, 12 Count"
24.82,Decatur,Illinois,Central,Office Supplies,"Tenex File Box, Personal Filing Tote with Lid, Black"
408.74,Decatur,Illinois,Central,Technology,ImationÿSecure+ Hardware Encrypted USB 2.0ÿFlash Drive; 16GB
503.96,Monroe,Louisiana,South,Technology,AT&T TR1909W
149.95,Monroe,Louisiana,South,Technology,Nokia Lumia 521 (T-Mobile)
29.00,Monroe,Louisiana,South,Technology,HP Standard 104 key PS/2 Keyboard
7.16,Fairfield,Connecticut,East,Office Supplies,Avery Poly Binder Pockets
176.80,Los Angeles,California,West,Technology,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card
37.22,Grand Prairie,Texas,Central,Office Supplies,"Personal Filing Tote with Lid, Black/Gray"
20.02,Grand Prairie,Texas,Central,Office Supplies,Southworth 25% Cotton Antique Laid Paper & Envelopes
899.14,New York City,New York,East,Furniture,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
71.76,New York City,New York,East,Technology,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink
51.84,New York City,New York,East,Office Supplies,Xerox 205
626.35,New York City,New York,East,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
19.90,New York City,New York,East,Office Supplies,4009 Highlighters by Sanford
14.28,Redlands,California,West,Office Supplies,Poly String Tie Envelopes
7.41,Hamilton,Ohio,East,Office Supplies,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
6.05,Hamilton,Ohio,East,Office Supplies,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
46.26,Westfield,New Jersey,East,Office Supplies,Decoflex Hanging Personal Folder File
2.95,Philadelphia,Pennsylvania,East,Office Supplies,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"
16.06,Philadelphia,Pennsylvania,East,Office Supplies,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page"
21.74,Akron,Ohio,East,Office Supplies,Southworth 25% Cotton Linen-Finish Paper & Envelopes
218.75,Denver,Colorado,West,Furniture,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
2.60,Denver,Colorado,West,Office Supplies,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
66.28,Dallas,Texas,Central,Office Supplies,Eureka Sanitaire  Commercial Upright
35.17,Franklin,Tennessee,South,Furniture,"Eldon 200 Class Desk Accessories, Burgundy"
444.77,Whittier,California,West,Technology,Nortel Business Series Terminal T7208 Digital phone
83.92,Saginaw,Michigan,Central,Office Supplies,"Tennsco Lockers, Gray"
131.98,Saginaw,Michigan,Central,Technology,Panasonic KX-TG6844B Expandable Digital Cordless Telephone
15.92,Saginaw,Michigan,Central,Office Supplies,"Avery Durable Slant Ring Binders, No Labels"
52.29,Saginaw,Michigan,Central,Office Supplies,"Advantus Push Pins, Aluminum Head"
91.99,Saginaw,Michigan,Central,Office Supplies,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h"
20.80,Dallas,Texas,Central,Technology,Memorex Micro Travel Drive 8 GB
23.68,Medina,Ohio,East,Office Supplies,Avery 505
452.45,Medina,Ohio,East,Furniture,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine
62.98,Medina,Ohio,East,Technology,Speck Products Candyshell Flip Case
1188.00,Medina,Ohio,East,Technology,Cisco 9971 IP Video Phone Charcoal
89.58,Medina,Ohio,East,Technology,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive
93.06,Los Angeles,California,West,Office Supplies,"Personal Filing Tote with Lid, Black/Gray"
302.38,Los Angeles,California,West,Technology,Adtran 1202752G1
5.58,Dublin,Ohio,East,Office Supplies,OIC Bulk Pack Metal Binder Clips
22.70,Dublin,Ohio,East,Office Supplies,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle"
19.78,Dublin,Ohio,East,Office Supplies,Ibico Standard Transparent Covers
72.70,Dublin,Ohio,East,Furniture,"Executive Impressions 14"" Two-Color Numerals Wall Clock"
479.99,Dublin,Ohio,East,Technology,Swingline SM12-08 MicroCut Jam Free Shredder
27.17,Dublin,Ohio,East,Office Supplies,Stanley Bostitch Contemporary Electric Pencil Sharpeners
2.20,Detroit,Michigan,Central,Office Supplies,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow"
622.45,Detroit,Michigan,Central,Furniture,Bevis 36 x 72 Conference Tables
21.98,Detroit,Michigan,Central,Office Supplies,Rogers Deluxe File Chest
161.57,Columbia,Tennessee,South,Furniture,Global Low Back Tilter Chair
389.70,Columbia,Tennessee,South,Furniture,"Global Push Button Manager's Chair, Indigo"
18.65,Charlotte,North Carolina,South,Office Supplies,GBC Instant Index System for Binding Systems
233.86,Tampa,Florida,South,Furniture,Bush Advantage Collection Round Conference Table
620.61,Tampa,Florida,South,Furniture,Bretford Rectangular Conference Table Tops
5.33,Tampa,Florida,South,Office Supplies,GBC Instant Index System for Binding Systems
258.07,Tampa,Florida,South,Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49"""
617.98,Tampa,Florida,South,Technology,LogitechÿP710e Mobile Speakerphone
10.56,Santa Clara,California,West,Office Supplies,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)
25.92,Chicago,Illinois,Central,Office Supplies,Xerox 1957
419.68,Chicago,Illinois,Central,Furniture,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base
11.69,Chicago,Illinois,Central,Furniture,Staple-based wall hangings
31.98,Chicago,Illinois,Central,Technology,PureGear Roll-On Screen Protector
177.23,Chicago,Illinois,Central,Furniture,KI Conference Tables
4.04,Chicago,Illinois,Central,Furniture,Eldon 100 Class Desk Accessories
7.41,Chicago,Illinois,Central,Office Supplies,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
2001.86,Lakeville,Minnesota,Central,Furniture,Global Deluxe High-Back Manager's Chair
166.72,Lakeville,Minnesota,Central,Office Supplies,Safco Steel Mobile File Cart
47.88,Lakeville,Minnesota,Central,Office Supplies,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book"
1503.25,Lakeville,Minnesota,Central,Office Supplies,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room
25.92,Lakeville,Minnesota,Central,Office Supplies,Xerox 205
321.57,San Francisco,California,West,Furniture,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
7.61,San Diego,California,West,Office Supplies,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page"
3347.37,San Diego,California,West,Technology,LogitechÿP710e Mobile Speakerphone
80.58,New York City,New York,East,Office Supplies,"Fellowes Personal Hanging Folder Files, Navy"
361.92,New York City,New York,East,Office Supplies,Tyvek Side-Opening Peel & Seel Expanding Envelopes
12.13,Chicago,Illinois,Central,Furniture,Eldon 100 Class Desk Accessories
82.37,Chicago,Illinois,Central,Office Supplies,"Belkin 19"" Vented Equipment Shelf, Black"
53.92,Chicago,Illinois,Central,Office Supplies,"Tenex Personal Project File with Scoop Front Design, Black"
647.90,Chicago,Illinois,Central,Technology,Logitech Mobile Speakerphone P710e -ÿspeaker phone
20.37,New York City,New York,East,Technology,Sabrent 4-Port USB 2.0 Hub
221.55,New York City,New York,East,Office Supplies,Safco Industrial Shelving
17.52,New York City,New York,East,Office Supplies,Acco 3-Hole Punch
1.62,Pasadena,Texas,Central,Office Supplies,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac
3059.98,Houston,Texas,Central,Technology,Lexmark MX611dhe Monochrome Laser Printer
2519.96,Houston,Texas,Central,Technology,Xerox WorkCentre 6505DN Laser Multifunction Printer
328.22,Chicago,Illinois,Central,Technology,Cisco Small Business SPA 502G VoIP phone
79.90,Brentwood,California,West,Technology,Microsoft Sculpt Comfort Mouse
14.02,Chapel Hill,North Carolina,South,Office Supplies,"Quartet Omega Colored Chalk, 12/Pack"
7.56,Morristown,New Jersey,East,Office Supplies,Bagged Rubber Bands
37.21,Cincinnati,Ohio,East,Office Supplies,Safco Commercial Shelving
57.58,Cincinnati,Ohio,East,Office Supplies,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13"
725.84,San Francisco,California,West,Office Supplies,Adjustable Depth Letter/Legal Cart
209.93,San Francisco,California,West,Technology,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling
5.28,San Francisco,California,West,Furniture,Regeneration Desk Collection
10.92,San Francisco,California,West,Office Supplies,Presstex Flexible Ring Binders
8.82,Inglewood,California,West,Office Supplies,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled"
5.98,Inglewood,California,West,Office Supplies,Newell 330
11.65,Philadelphia,Pennsylvania,East,Office Supplies,"Post-it ?Important Message? Note Pad, Neon Colors, 50 Sheets/Pad"
18.18,Philadelphia,Pennsylvania,East,Office Supplies,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages"
59.71,Philadelphia,Pennsylvania,East,Office Supplies,Eldon Simplefile Box Office
24.84,Philadelphia,Pennsylvania,East,Office Supplies,Avery 489
2.08,Houston,Texas,Central,Office Supplies,Round Ring Binders
1114.40,Houston,Texas,Central,Technology,Bose SoundLink Bluetooth Speaker
1038.84,Los Angeles,California,West,Furniture,"Bevis Round Bullnose 29"" High Table Top"
141.76,Portland,Oregon,West,Office Supplies,Easy-staple paper
239.80,Portland,Oregon,West,Technology,Microsoft Arc Touch Mouse
31.10,Portland,Oregon,West,Office Supplies,Xerox 216
254.06,Tamarac,Florida,South,Office Supplies,GBC VeloBinder Electric Binding Machine
194.53,Tamarac,Florida,South,Office Supplies,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
961.48,Tamarac,Florida,South,Office Supplies,Premier Automatic Letter Opener
19.10,Columbus,Ohio,East,Office Supplies,Advantus SlideClip Paper Clips
18.50,Columbus,Ohio,East,Office Supplies,Avery 512
255.98,Columbus,Ohio,East,Technology,Logitech Wireless Gaming Headset G930
86.97,Columbus,Ohio,East,Furniture,"Bush Westfield Collection Bookcases, Medium Cherry Finish"
300.42,Colorado Springs,Colorado,West,Furniture,"Howard Miller 13"" Diameter Goldtone Round Wall Clock"
230.35,Colorado Springs,Colorado,West,Furniture,Global Deluxe Office Fabric Chairs
218.35,Colorado Springs,Colorado,West,Furniture,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection
78.60,Colorado Springs,Colorado,West,Office Supplies,Ibico Laser Imprintable Binding System Covers
27.55,Colorado Springs,Colorado,West,Office Supplies,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box"
32.40,Belleville,New Jersey,East,Office Supplies,Xerox 223
1082.48,Belleville,New Jersey,East,Office Supplies,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand"
56.91,Belleville,New Jersey,East,Office Supplies,Xerox 1939
77.60,Belleville,New Jersey,East,Furniture,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts"
14.28,Belleville,New Jersey,East,Office Supplies,Avery Premier Heavy-Duty Binder with Round Locking Rings
219.08,Chicago,Illinois,Central,Furniture,BPI Conference Tables
26.80,New York City,New York,East,Furniture,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp
9.84,Taylor,Michigan,Central,Office Supplies,Newell 350
45.48,Lakewood,New Jersey,East,Office Supplies,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack"
289.20,Lakewood,New Jersey,East,Office Supplies,Boston Heavy-Duty Trimline Electric Pencil Sharpeners
4.89,Arlington,Virginia,South,Office Supplies,Faber Castell Col-Erase Pencils
